SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Tue Aug 04 13:19:57 PDT 2026
User: Stephen Warren
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2G24357
Integration Time (usec): 48000 (USB2G24357)
Spectra Averaged: 200 (USB2G24357)
Boxcar Smoothing: 0 (USB2G24357)
Correct for Electrical Dark: No (USB2G24357)
Strobe/Lamp Enabled: No (USB2G24357)
Correct for Detector Non-linearity: No (USB2G24357)
Correct for Stray Light: No (USB2G24357)
Number of Pixels in Processed Spectrum: 651
>>>>>Begin Processed Spectral Data<<<<<
350.00	154.24
351.00	154.88
352.00	155.60
353.00	155.96
354.00	155.91
355.00	155.84
356.00	155.03
357.00	154.92
358.00	157.56
359.00	155.45
360.00	155.28
361.00	156.59
362.00	156.00
363.00	155.91
364.00	156.19
365.00	155.82
366.00	155.96
367.00	157.31
368.00	157.06
369.00	156.85
370.00	157.04
371.00	157.00
372.00	156.53
373.00	158.23
374.00	156.32
375.00	156.33
376.00	155.79
377.00	157.36
378.00	157.37
379.00	156.83
380.00	155.64
381.00	157.84
382.00	156.76
383.00	156.15
384.00	156.67
385.00	156.86
386.00	156.90
387.00	156.69
388.00	156.34
389.00	157.43
390.00	156.52
391.00	156.58
392.00	157.58
393.00	158.11
394.00	157.20
395.00	160.25
396.00	156.86
397.00	156.77
398.00	157.46
399.00	157.16
400.00	156.64
401.00	156.80
402.00	157.36
403.00	157.71
404.00	156.21
405.00	157.06
406.00	156.92
407.00	157.49
408.00	157.17
409.00	157.79
410.00	157.38
411.00	156.89
412.00	157.75
413.00	158.65
414.00	158.26
415.00	157.59
416.00	158.69
417.00	157.73
418.00	157.91
419.00	159.67
420.00	158.96
421.00	159.24
422.00	158.30
423.00	158.18
424.00	158.09
425.00	158.48
426.00	158.54
427.00	159.10
428.00	158.34
429.00	158.45
430.00	158.37
431.00	158.08
432.00	158.63
433.00	158.90
434.00	160.07
435.00	159.50
436.00	159.78
437.00	159.77
438.00	159.78
439.00	160.08
440.00	160.60
441.00	159.70
442.00	160.36
443.00	161.48
444.00	160.42
445.00	160.88
446.00	160.80
447.00	160.37
448.00	160.87
449.00	162.66
450.00	161.45
451.00	161.07
452.00	160.82
453.00	161.25
454.00	161.42
455.00	161.92
456.00	161.91
457.00	162.86
458.00	162.62
459.00	162.95
460.00	162.01
461.00	162.97
462.00	163.93
463.00	163.81
464.00	164.98
465.00	164.58
466.00	164.70
467.00	166.88
468.00	165.80
469.00	165.71
470.00	166.23
471.00	165.97
472.00	166.03
